p2g_ms,grid_update_ms,bc_ms,g2p_ms,total_ms
5.16050000442192,0.6722999969497323,0.3727000002982095,12.552699990919791,18.758199992589653
6.025900001986884,0.4982999962521717,0.2457999944454059,14.50410000688862,21.27409999957308
5.373899999540299,0.6837000109953806,0.3772000054595992,12.088899995433167,18.523700011428446
5.129199998918921,0.4760999872814864,0.24120000307448208,12.510000000474975,18.356499989749864
5.070599989267066,0.6047000060789287,0.2972999936901033,12.485900006140582,18.45849999517668
5.361699993954971,0.6123000057414174,0.29969999741297215,13.720000002649613,19.993699999758974
5.245099993771873,0.5475999932968989,0.31210000452119857,12.241400007042103,18.346199998632073
4.762299999129027,0.5254999996395782,0.24160000612027943,12.19890000356827,17.728300008457154
3.877199997077696,0.618399993982166,0.42799999937415123,12.674000012339093,17.597600002773106
4.966599997715093,0.520200002938509,0.30020000122021884,11.447400000179186,17.234400002053007
4.9697999929776415,0.5175999976927415,0.2998999989358708,15.537200000835583,21.324499990441836
5.202500004088506,0.5202999891480431,0.29999999969732016,12.76319999305997,18.78599998599384
6.103000006987713,0.683899997966364,0.36639999598264694,13.155400010873564,20.308700011810288
6.530300001031719,0.7541999948443845,0.38500000664498657,11.781499997596256,19.451000000117347
7.359699986409396,0.7162999972933903,0.3378999972483143,12.860300004831515,21.274199985782616
5.475299985846505,0.5454000056488439,0.30189999961294234,12.97820000036154,19.30079999146983
4.997800002456643,0.48099999548867345,0.24390000908169895,12.844600001699291,18.567300008726306
6.042500011972152,0.7062999939080328,0.38079998921602964,11.760599998524413,18.890199993620627
5.140900000697002,0.705099999322556,0.39000000106170774,14.305999997304752,20.541999998386018
4.75439999718219,0.45170000521466136,0.24290000146720558,12.483400001656264,17.93240000552032
5.669500009389594,0.5342000076780096,0.3102999908151105,12.035499996272847,18.54950000415556
5.751200005761348,0.6272999889915809,0.30029998742975295,12.712700001429766,19.391499983612448
6.5455000003566965,0.6292999896686524,0.3012999950442463,14.472599999862723,21.94869998493232
5.6290000065928325,0.5630999949062243,0.3051000094274059,12.487400003010407,18.98460001393687
5.1186999917263165,0.5761999927926809,0.3026999911526218,12.802999990526587,18.800599966198206
5.052900000009686,0.5448000010801479,0.302100001135841,12.591999999131076,18.49180000135675
5.113199993502349,0.6054999976186082,0.29850000282749534,15.357600001152605,21.374799995101057
5.1592999952845275,0.6068999937269837,0.29569999605882913,11.751199999707751,17.81309998477809
