frame,kinetic_energy,potential_energy,total_energy
0,125.0,7838.2360717773445,7963.2360717773445
1,140.13217163085938,7823.060546875001,7963.19271850586
2,156.1287078857422,7807.020703125,7963.149411010742
3,172.98956298828125,7790.115942382813,7963.105505371094
4,190.71481323242188,7772.348059082032,7963.062872314454
5,209.3043975830078,7753.715258789063,7963.019656372071
6,228.75836181640625,7734.218139648438,7962.976501464845
7,249.07662963867188,7713.856701660156,7962.933331298828
8,270.25927734375,7692.63154296875,7962.8908203125
9,292.3062744140625,7670.540869140626,7962.847143554688
10,315.2176208496094,7647.586474609376,7962.804095458985
11,338.9933776855469,7623.765966796876,7962.759344482422
12,363.6334228515625,7599.082934570313,7962.716357421876
13,389.1378173828125,7573.536181640626,7962.673999023438
14,415.5066223144531,7547.123315429688,7962.629937744141
15,442.73974609375,7519.847924804688,7962.587670898438
16,470.83721923828125,7491.706420898438,7962.54364013672
17,499.79913330078125,7462.701196289063,7962.500329589844
18,529.6259155273438,7432.831652832032,7962.457568359376
19,560.317138671875,7402.097192382813,7962.414331054688
20,591.8727416992188,7370.4990112304695,7962.371752929688
21,624.2928466796875,7338.037109375001,7962.329956054688
22,657.5772094726562,7304.710888671875,7962.288098144531
23,691.7260131835938,7270.519152832032,7962.245166015626
24,726.7390747070312,7235.463098144532,7962.202172851563
25,762.6166381835938,7199.543322753907,7962.159960937501
26,799.3585815429688,7162.758032226563,7962.116613769532
27,836.96484375,7125.109020996094,7962.073864746094
28,875.435546875,7086.595092773438,7962.030639648438
29,914.7706909179688,7047.218041992188,7961.988732910157
30,954.97021484375,7006.976074218751,7961.946289062501
31,996.0341186523438,6965.870385742188,7961.904504394532
32,1037.96240234375,6923.899182128906,7961.861584472656
33,1080.7550048828125,6881.064855957032,7961.819860839844
34,1124.4122314453125,6837.365014648438,7961.77724609375
35,1168.93359375,6792.800854492188,7961.734448242188
36,1214.3193359375,6747.37177734375,7961.69111328125
37,1260.569580078125,6701.0795776367195,7961.6491577148445
38,1307.6844482421875,6653.922460937501,7961.606909179688
39,1355.6632080078125,6605.901025390625,7961.564233398438
40,1404.5068359375,6557.015270996094,7961.522106933594
41,1454.2144775390625,6507.265795898438,7961.480273437501
42,1504.786376953125,6456.652001953125,7961.43837890625
43,1555.614013671875,6405.174487304688,7960.788500976563
44,1588.507568359375,6352.962451171876,7941.470019531251
45,1541.36865234375,6300.837744140626,7842.206396484376
46,1329.6668701171875,6251.1271484375,7580.794018554688
47,953.3792114257812,6207.788586425781,7161.167797851563
48,551.0604858398438,6175.144848632813,6726.205334472656
49,275.555908203125,6156.0855712890625,6431.6414794921875
50,151.41812133789062,6151.196337890626,6302.614459228516
51,148.4503936767578,6159.073901367188,6307.524295043946
52,306.183349609375,6177.2598876953125,6483.4432373046875
53,642.089599609375,6203.215173339844,6845.304772949219
54,1020.8787841796875,6234.877954101563,7255.75673828125
55,1252.1708984375,6270.619482421876,7522.790380859376
56,1260.865478515625,6309.024548339844,7569.890026855469
57,1128.447998046875,6348.771850585938,7477.219848632813
58,1003.3048706054688,6388.680053710938,7391.984924316407
59,966.6635131835938,6428.026000976563,7394.689514160157
60,996.1939697265625,6466.548303222657,7462.742272949219
61,1043.1654052734375,6504.2062866210945,7547.371691894532
62,1052.418701171875,6541.001147460938,7593.419848632813
63,996.59326171875,6576.930493164063,7573.523754882813
64,890.67919921875,6611.996118164063,7502.675317382813
65,762.85986328125,6646.198022460938,7409.057885742188
66,685.6519775390625,6679.535009765626,7365.186987304688
67,720.9647827148438,6712.006481933594,7432.971264648438
68,819.62451171875,6743.614831542969,7563.239343261719
69,864.8948974609375,6774.358264160157,7639.2531616210945
70,770.04833984375,6804.237377929688,7574.285717773438
71,578.9263305664062,6833.252770996094,7412.1791015625
72,452.3951721191406,6861.403247070313,7313.798419189454
73,487.388427734375,6888.689404296875,7376.07783203125
74,618.5975952148438,6915.111840820313,7533.709436035157
75,690.612548828125,6940.669360351563,7631.281909179688
76,616.0924072265625,6965.361962890625,7581.454370117188
77,454.2760009765625,6989.191442871094,7443.467443847657
78,331.36212158203125,7012.155407714844,7343.517529296875
79,334.0490417480469,7034.255651855469,7368.304693603516
80,419.5179443359375,7055.491577148438,7475.009521484376
81,475.33636474609375,7075.86318359375,7551.199548339844
82,463.0400695800781,7095.369873046876,7558.409942626954
83,391.1061096191406,7114.012841796875,7505.118951416016
84,294.5850830078125,7131.789697265625,7426.374780273438
85,232.9528350830078,7148.703430175782,7381.65626525879
86,222.17076110839844,7164.753442382813,7386.924203491211
87,268.8655700683594,7179.938537597657,7448.8041076660165
88,346.3162536621094,7194.259912109375,7540.576165771485
89,362.56964111328125,7207.715771484375,7570.285412597656
90,280.68511962890625,7220.308508300782,7500.993627929688
91,153.47235107421875,7232.035729980469,7385.508081054688
92,79.14879608154297,7242.899230957032,7322.048027038575
93,129.61085510253906,7252.898413085938,7382.509268188477
94,254.46046447753906,7262.033276367188,7516.493740844727
95,324.86138916015625,7270.303222656251,7595.164611816407
96,257.350830078125,7277.708850097657,7535.059680175782
97,111.59947967529297,7284.250756835938,7395.850236511231
98,29.83104705810547,7289.927746582031,7319.758793640137
99,66.59000396728516,7294.74041748047,7361.330421447755
100,173.9583282470703,7298.688769531251,7472.647097778321
101,250.02674865722656,7301.772802734376,7551.799551391602
102,223.46990966796875,7303.993115234375,7527.463024902344
103,139.6139678955078,7305.347912597656,7444.961880493164
104,69.40608215332031,7305.8395874023445,7375.245669555665
105,53.53331756591797,7305.465747070313,7358.999064636231
106,101.10523223876953,7304.227587890626,7405.332820129395
107,165.865966796875,7302.126306152344,7467.992272949219
108,212.0557098388672,7299.159509277344,7511.215219116211
109,213.6878204345703,7295.328991699219,7509.016812133789
110,153.7406005859375,7290.634155273438,7444.374755859376
111,79.65316009521484,7285.075000000001,7364.728160095216
112,56.423866271972656,7278.650329589845,7335.074195861817
113,121.90958404541016,7271.3625366210945,7393.272120666505
114,237.34303283691406,7263.209228515626,7500.55226135254
115,292.274658203125,7254.192797851563,7546.467456054688
116,241.7339630126953,7244.310852050782,7486.0448150634775
117,139.96316528320312,7233.565185546876,7373.528350830079
118,86.93443298339844,7221.9557983398445,7308.890231323243
119,148.6590576171875,7209.481494140626,7358.140551757813
120,273.31109619140625,7196.14227294922,7469.453369140626
121,353.21697998046875,7181.939331054688,7535.156311035157
122,330.39764404296875,7166.872070312501,7497.26971435547
123,248.27743530273438,7150.939892578125,7399.21732788086
124,204.82235717773438,7134.143994140625,7338.96635131836
125,234.56788635253906,7116.483178710938,7351.051065063477
126,315.41510009765625,7097.958642578125,7413.373742675782
127,399.1466369628906,7078.569189453126,7477.715826416016
128,431.10174560546875,7058.314819335938,7489.416564941407
129,415.87158203125,7037.197924804688,7453.069506835938
130,381.46209716796875,7015.214916992188,7396.677014160156
131,355.3551940917969,6992.368786621094,7347.723980712891
132,382.84271240234375,6968.656542968751,7351.4992553710945
133,466.2998352050781,6944.082373046876,7410.382208251954
134,560.017578125,6918.641491699219,7478.659069824219
135,608.0436401367188,6892.336889648438,7500.380529785157
136,578.8482055664062,6865.169165039063,7444.017370605469
137,514.8724975585938,6837.135327148438,7352.007824707031
138,501.6934814453125,6808.237768554688,7309.931250000001
139,585.6119384765625,6778.477087402344,7364.089025878907
140,715.9716186523438,6747.85029296875,7463.821911621094
141,791.2023315429688,6716.360375976563,7507.562707519532
142,777.6060180664062,6684.004943847657,7461.610961914063
143,720.86865234375,6650.785791015625,7371.654443359375
144,698.2022705078125,6616.702917480469,7314.905187988282
145,762.7350463867188,6581.754528808594,7344.489575195313
146,877.2496337890625,6545.941821289063,7423.191455078126
147,964.515869140625,6509.265393066406,7473.781262207031
