frame,kinetic_energy,potential_energy,total_energy,mean_vz,n_total,n_below_neck
73,3501.204833984375,5146.620373535156,8647.82520751953,-2.6462066173553467,16000,0
74,3579.43359375,5068.345983886719,8647.77957763672,-2.6756060123443604,16000,0
75,3658.527099609375,4989.207574462891,8647.734674072266,-2.705005407333374,16000,0
76,3738.484375,4909.2054443359375,8647.689819335938,-2.734405040740967,16000,0
77,3819.306640625,4828.338098144532,8647.644738769532,-2.7638041973114014,16000,0
78,3900.992919921875,4746.607629394532,8647.600549316407,-2.793203592300415,16000,0
79,3983.54345703125,4664.011645507813,8647.555102539063,-2.8226027488708496,16000,0
80,4066.958740234375,4580.551342773438,8647.510083007812,-2.852001905441284,16000,0
81,4151.23828125,4496.227917480469,8647.466198730468,-2.881401538848877,16000,0
82,4236.3818359375,4411.038977050782,8647.420812988283,-2.9108011722564697,16000,0
83,4322.3896484375,4324.9863159179695,8647.37596435547,-2.9402005672454834,16000,0
84,4409.26171875,4238.068737792969,8647.330456542968,-2.969600200653076,16000,0
85,4496.9990234375,4150.287139892578,8647.286163330078,-2.99899959564209,16000,0
86,4585.599609375,4061.640924072266,8647.240533447266,-3.0283989906311035,16000,0
87,4638.443359375,3972.2060546875005,8610.6494140625,-3.045616626739502,16000,0
88,4051.97607421875,3885.447882080078,7937.423956298828,-2.7971792221069336,16000,624
89,3335.180419921875,3813.516217041016,7148.696636962891,-2.147695779800415,16000,1658
90,3127.481689453125,3756.6120361328126,6884.093725585937,-1.8559836149215698,16000,2297
91,2938.622314453125,3700.698083496094,6639.320397949219,-1.9544923305511475,16000,3028
92,2869.164794921875,3642.432525634766,6511.597320556641,-1.9743459224700928,16000,3755
93,2762.758056640625,3586.733905029297,6349.491961669923,-1.8124339580535889,16000,4503
94,2686.6044921875,3536.0166320800786,6222.621124267578,-1.673952579498291,16000,5175
95,2626.88134765625,3487.222692871094,6114.104040527343,-1.658661127090454,16000,5784
96,2587.08544921875,3438.572906494141,6025.658355712891,-1.644404411315918,16000,6403
97,2556.03271484375,3390.977349853516,5947.010064697266,-1.5970124006271362,16000,7063
98,2533.186767578125,3344.586755371094,5877.773522949219,-1.5670788288116455,16000,7660
99,2516.925537109375,3298.6552368164066,5815.580773925782,-1.5596704483032227,16000,8227
100,2506.8359375,3252.9369567871095,5759.772894287109,-1.5500438213348389,16000,8718
101,2501.331298828125,3207.5673950195314,5708.898693847656,-1.5384032726287842,16000,9072
102,2499.8359375,3162.4266235351565,5662.262561035157,-1.5338059663772583,16000,9349
103,2502.07373046875,3117.3695922851566,5619.443322753907,-1.5314311981201172,16000,9631
104,2507.565185546875,3072.390020751953,5579.955206298828,-1.52895188331604,16000,9866
105,2515.934814453125,3027.4364685058595,5543.371282958984,-1.5295287370681763,16000,10091
106,2531.0234375,2982.4449340820315,5513.468371582032,-1.529502034187317,16000,10276
107,2541.299072265625,2937.4046508789065,5478.703723144532,-1.532094955444336,16000,10470
108,2555.125,2892.304254150391,5447.429254150391,-1.534962773323059,16000,10644
109,2571.94482421875,2847.132379150391,5419.077203369141,-1.537611484527588,16000,10812
110,2590.55126953125,2801.8818481445314,5392.433117675781,-1.5404667854309082,16000,10959
111,2582.320556640625,2756.589147949219,5338.909704589843,-1.5376206636428833,16000,11102
112,2539.948974609375,2711.61884765625,5251.567822265625,-1.5234237909317017,16000,11261
113,2496.206787109375,2667.1432128906254,5163.35,-1.5038950443267822,16000,11400
114,2449.5771484375,2623.415856933594,5072.993005371094,-1.4786176681518555,16000,11506
115,2398.298828125,2580.626391601563,4978.925219726563,-1.4461370706558228,16000,11611
116,2350.3212890625,2539.032916259766,4889.354205322266,-1.4082467555999756,16000,11742
117,2308.2119140625,2498.7442932128906,4806.956207275391,-1.3653150796890259,16000,11848
118,2249.188720703125,2459.954919433594,4709.143640136719,-1.315194010734558,16000,11956
119,2162.95703125,2422.8167236328127,4585.773754882813,-1.2566591501235962,16000,12063
120,2051.6708984375,2387.549673461914,4439.220571899414,-1.1901569366455078,16000,12161
121,1920.8953857421875,2354.3716430664062,4275.267028808594,-1.1162563562393188,16000,12243
122,1781.1751708984375,2323.434112548828,4104.609283447266,-1.0378804206848145,16000,12332
123,1633.104736328125,2294.8689727783203,3927.9737091064453,-0.9545785188674927,16000,12420
124,1477.1507568359375,2268.7823944091797,3745.933151245117,-0.8672623038291931,16000,12486
125,1320.084228515625,2245.2827911376953,3565.3670196533203,-0.7770255208015442,16000,12557
126,1166.76708984375,2224.4069488525392,3391.1740386962892,-0.6864467859268188,16000,12624
127,1021.0390625,2206.102978515625,3227.142041015625,-0.5988302826881409,16000,12691
128,888.88525390625,2190.2171569824222,3079.1024108886722,-0.5177977681159973,16000,12746
129,774.0874633789062,2176.492581176758,2950.5800445556642,-0.4478285014629364,16000,12813
130,675.3828735351562,2164.5863647460938,2839.96923828125,-0.38988614082336426,16000,12868
131,595.3775634765625,2154.142462158203,2749.5200256347657,-0.34419897198677063,16000,12941
132,532.1156616210938,2144.8296508789062,2676.9453125,-0.3090917468070984,16000,12994
133,483.63385009765625,2136.3735321044924,2620.0073822021486,-0.28270861506462097,16000,13048
134,446.99884033203125,2128.557876586914,2575.5567169189453,-0.26280316710472107,16000,13091
135,418.60113525390625,2121.224176025391,2539.8253112792972,-0.24773217737674713,16000,13132
136,394.99029541015625,2114.259979248047,2509.250274658203,-0.2357395589351654,16000,13203
137,374.453369140625,2107.6041259765625,2482.0574951171875,-0.2253357172012329,16000,13258
138,356.64501953125,2101.2288024902346,2457.8738220214846,-0.21567367017269135,16000,13298
139,341.3700866699219,2095.12802734375,2436.498114013672,-0.20595890283584595,16000,13343
140,328.50823974609375,2089.3152587890627,2417.8234985351564,-0.1958128660917282,16000,13379
141,317.7774963378906,2083.803506469727,2401.5810028076176,-0.18525603413581848,16000,13418
142,308.30377197265625,2078.5957611083986,2386.899533081055,-0.17475876212120056,16000,13461
143,299.490966796875,2073.6911254882816,2373.1820922851566,-0.16440452635288239,16000,13487
144,291.1511535644531,2069.0860107421877,2360.237164306641,-0.15406423807144165,16000,13510
145,283.1923828125,2064.7756317138674,2347.9680145263674,-0.14401967823505402,16000,13530
146,275.5740051269531,2060.746829223633,2336.320834350586,-0.13452795147895813,16000,13552
147,268.2297668457031,2056.984051513672,2325.213818359375,-0.12573473155498505,16000,13588
148,261.0205383300781,2053.4680084228517,2314.48854675293,-0.11754290759563446,16000,13616
149,253.97654724121094,2050.183447265625,2304.159994506836,-0.10990515351295471,16000,13636
150,247.31689453125,2047.1140686035158,2294.430963134766,-0.10276077687740326,16000,13661
151,240.74612426757812,2044.2426757812502,2284.988800048828,-0.09629140794277191,16000,13678
152,234.4281463623047,2041.5492309570313,2275.977377319336,-0.09051360189914703,16000,13702
153,228.37042236328125,2039.0178833007815,2267.3883056640625,-0.08514918386936188,16000,13723
154,223.39385986328125,2036.639959716797,2260.033819580078,-0.07998182624578476,16000,13734
155,217.6821746826172,2034.40544128418,2252.087615966797,-0.07529771327972412,16000,13745
156,213.45298767089844,2032.3028137207032,2245.7558013916014,-0.07081542164087296,16000,13761
157,208.4439697265625,2030.3298339843752,2238.7738037109375,-0.06645958125591278,16000,13786
158,205.36961364746094,2028.4847076416017,2233.8543212890627,-0.062119804322719574,16000,13799
159,198.57794189453125,2026.7614532470704,2225.339395141602,-0.05818860977888107,16000,13814
160,193.76910400390625,2025.1481079101563,2218.9172119140626,-0.05455200374126434,16000,13828
161,191.44189453125,2023.6379425048829,2215.0798370361326,-0.05113113299012184,16000,13839
162,187.6759796142578,2022.2267700195314,2209.9027496337894,-0.047858402132987976,16000,13854
163,183.4199981689453,2020.9086090087892,2204.3286071777347,-0.0447431243956089,16000,13863
164,180.769775390625,2019.68046875,2200.450244140625,-0.04181492328643799,16000,13869
165,178.5552215576172,2018.5336761474612,2197.088897705078,-0.03912888094782829,16000,13874
166,173.5467529296875,2017.46494140625,2191.0116943359376,-0.036561060696840286,16000,13892
167,171.47378540039062,2016.4696289062501,2187.943414306641,-0.03414597362279892,16000,13903
168,166.0278778076172,2015.5426544189454,2181.5705322265626,-0.03190741688013077,16000,13912
169,162.81710815429688,2014.6783355712892,2177.495443725586,-0.02989116683602333,16000,13924
170,160.34646606445312,2013.8723358154298,2174.218801879883,-0.02788992039859295,16000,13937
171,157.6186065673828,2013.122412109375,2170.741018676758,-0.026070306077599525,16000,13947
172,155.67721557617188,2012.4237792968752,2168.100994873047,-0.024350710213184357,16000,13956
173,150.9088592529297,2011.7759887695313,2162.6848480224608,-0.02269882895052433,16000,13961
174,148.69747924804688,2011.1753021240236,2159.8727813720707,-0.02118859440088272,16000,13973
175,146.7842254638672,2010.6179809570315,2157.4022064208984,-0.019777141511440277,16000,13983
176,143.05157470703125,2010.103128051758,2153.1547027587894,-0.01831594854593277,16000,13991
177,140.54888916015625,2009.632537841797,2150.181427001953,-0.016830280423164368,16000,13999
178,138.14915466308594,2009.2053131103517,2147.3544677734376,-0.015393901616334915,16000,14007
179,135.91986083984375,2008.819061279297,2144.7389221191406,-0.014054100960493088,16000,14016
180,133.5796356201172,2008.4695953369142,2142.0492309570313,-0.012871907092630863,16000,14022
181,131.28948974609375,2008.152429199219,2139.441918945313,-0.011789966374635696,16000,14025
182,128.8640899658203,2007.8641235351563,2136.7282135009764,-0.010842434130609035,16000,14032
183,126.6562728881836,2007.603631591797,2134.259904479981,-0.009908990934491158,16000,14042
184,121.83871459960938,2007.3646728515625,2129.2033874511717,-0.009731831029057503,16000,14053
185,117.88646697998047,2007.133938598633,2125.0204055786135,-0.009297058917582035,16000,14066
186,115.20877075195312,2006.9166625976563,2122.1254333496095,-0.008855411782860756,16000,14070
187,112.82646179199219,2006.7122467041017,2119.538708496094,-0.008232709020376205,16000,14072
188,110.84149932861328,2006.5194946289064,2117.36099395752,-0.00762290321290493,16000,14076
189,109.48975372314453,2006.3409484863282,2115.8307022094727,-0.007289513014256954,16000,14081
190,107.42512512207031,2006.17197265625,2113.5970977783204,-0.006884319242089987,16000,14083
191,106.45994567871094,2006.0152587890627,2112.4752044677734,-0.006560749839991331,16000,14087
192,104.23160552978516,2005.8664703369143,2110.098075866699,-0.006304561626166105,16000,14092
193,101.61705017089844,2005.725457763672,2107.3425079345707,-0.00603210274130106,16000,14094
194,101.2528076171875,2005.591473388672,2106.8442810058596,-0.0058086467906832695,16000,14102
195,99.41549682617188,2005.4637695312501,2104.8792663574222,-0.005553693976253271,16000,14103
196,97.76508331298828,2005.3408508300784,2103.1059341430664,-0.0054331449791789055,16000,14109
197,94.9227066040039,2005.2201751708985,2100.1428817749024,-0.005396248307079077,16000,14118
198,94.29576110839844,2005.1045837402346,2099.400344848633,-0.0054137930274009705,16000,14117
199,92.53417205810547,2004.9915344238282,2097.5257064819334,-0.00519622303545475,16000,14120
200,90.0635986328125,2004.8819244384767,2094.9455230712892,-0.00509787118062377,16000,14125
201,88.53854370117188,2004.7763519287112,2093.314895629883,-0.004966888576745987,16000,14126
202,86.28682708740234,2004.6733215332033,2090.9601486206057,-0.00484703341498971,16000,14133
203,85.31297302246094,2004.571487426758,2089.8844604492188,-0.0047952644526958466,16000,14140
204,82.1384506225586,2004.4689056396485,2086.607356262207,-0.0048944707959890366,16000,14141
205,80.09870910644531,2004.3606414794924,2084.4593505859375,-0.005244756117463112,16000,14149
206,78.37307739257812,2004.244451904297,2082.617529296875,-0.005366820842027664,16000,14150
207,77.2171859741211,2004.122430419922,2081.3396163940433,-0.005441241431981325,16000,14150
208,76.370361328125,2003.99577331543,2080.3661346435547,-0.005531707778573036,16000,14158
209,74.61968994140625,2003.86552734375,2078.485217285156,-0.005642689298838377,16000,14162
210,73.25702667236328,2003.7309448242188,2076.987971496582,-0.00582066411152482,16000,14166
211,71.44766235351562,2003.5891845703127,2075.0368469238283,-0.006055939476937056,16000,14168
212,69.69719696044922,2003.4375549316408,2073.13475189209,-0.006580266635864973,16000,14170
213,68.04476165771484,2003.2697753906252,2071.31453704834,-0.0069448803551495075,16000,14172
214,66.98635864257812,2003.0907806396485,2070.0771392822267,-0.007391687016934156,16000,14174
215,65.46713256835938,2002.901467895508,2068.3686004638676,-0.007664406672120094,16000,14176
216,64.24250030517578,2002.700491333008,2066.9429916381837,-0.008060731925070286,16000,14178
217,62.156002044677734,2002.4871032714846,2064.6431053161623,-0.008609582670032978,16000,14181
218,60.66374588012695,2002.2577148437501,2062.9214607238773,-0.009161347523331642,16000,14181
219,59.406192779541016,2002.0117279052736,2061.417920684815,-0.009557290002703667,16000,14181
220,58.58685302734375,2001.7504882812502,2060.3373413085938,-0.010239030234515667,16000,14185
221,57.34971237182617,2001.4751922607422,2058.824904632568,-0.01063293032348156,16000,14185
222,56.271263122558594,2001.184344482422,2057.4556076049803,-0.01116286963224411,16000,14191
223,55.1104850769043,2000.8774963378908,2055.9879814147953,-0.011657040566205978,16000,14194
224,53.93965530395508,2000.5539001464845,2054.4935554504395,-0.01220376044511795,16000,14197
225,52.72449493408203,2000.2132568359377,2052.9377517700195,-0.012927974574267864,16000,14201
226,51.23644256591797,1999.856463623047,2051.0929061889647,-0.013351731933653355,16000,14206
227,49.2226676940918,1999.4841186523438,2048.7067863464354,-0.013572761788964272,16000,14209
228,47.72838592529297,1999.0935302734376,2046.8219161987306,-0.014687134884297848,16000,14213
229,47.05999755859375,1998.6829040527346,2045.7429016113283,-0.015265514142811298,16000,14219
230,46.45429611206055,1998.2480529785157,2044.7023490905763,-0.016225559636950493,16000,14225
231,45.662147521972656,1997.7903228759767,2043.4524703979494,-0.016837242990732193,16000,14226
232,45.92022705078125,1997.3119567871095,2043.2321838378907,-0.017540447413921356,16000,14230
233,45.3271484375,1996.813104248047,2042.140252685547,-0.0182237159460783,16000,14231
234,44.00663757324219,1996.293765258789,2040.3004028320313,-0.018888363614678383,16000,14233
235,43.20934295654297,1995.7543884277345,2038.9637313842775,-0.01954146847128868,16000,14234
236,42.26084899902344,1995.1922821044923,2037.4531311035157,-0.020261555910110474,16000,14239
237,41.22757339477539,1994.605651855469,2035.8332252502444,-0.02114795707166195,16000,14239
238,42.473060607910156,1993.9967407226563,2036.4698013305665,-0.022092027589678764,16000,14240
239,40.215328216552734,1993.3636047363282,2033.578932952881,-0.02277059108018875,16000,14242
240,39.75518035888672,1992.7086364746094,2032.4638168334961,-0.02343142218887806,16000,14246
241,39.10038757324219,1992.0318359375,2031.1322235107423,-0.02417697384953499,16000,14247
242,39.46502685546875,1991.3323059082034,2030.797332763672,-0.02500675991177559,16000,14248
243,39.019775390625,1990.6085510253909,2029.6283264160159,-0.02584458887577057,16000,14253
244,39.24351501464844,1989.865805053711,2029.1093200683595,-0.02638150379061699,16000,14251
245,38.23640441894531,1989.1022735595704,2027.3386779785158,-0.027109695598483086,16000,14257
246,37.96612548828125,1988.3200500488283,2026.2861755371096,-0.02771339751780033,16000,14261
247,36.93448257446289,1987.5191345214846,2024.4536170959475,-0.028314316645264626,16000,14262
248,36.522300720214844,1986.7007232666017,2023.2230239868165,-0.028905021026730537,16000,14261
249,37.184539794921875,1985.8649658203126,2023.0495056152345,-0.029464131221175194,16000,14264
250,36.440364837646484,1985.012908935547,2021.4532737731936,-0.030008865520358086,16000,14267
251,39.49980163574219,1984.1441040039065,2023.6439056396487,-0.030566876754164696,16000,14264
252,37.6849250793457,1983.2588500976565,2020.9437751770022,-0.031140154227614403,16000,14268
253,36.27729415893555,1982.3561004638673,2018.6333946228028,-0.03170977160334587,16000,14270
254,37.72705078125,1981.4363037109376,2019.1633544921876,-0.03228910267353058,16000,14270
255,38.13983917236328,1980.4985626220705,2018.6384017944338,-0.03287455812096596,16000,14271
256,37.848350524902344,1979.5421295166018,2017.3904800415041,-0.033599287271499634,16000,14272
257,36.83970260620117,1978.565808105469,2015.40551071167,-0.0342431403696537,16000,14272
258,37.15325927734375,1977.5713928222658,2014.7246520996096,-0.03489326313138008,16000,14277
259,36.597251892089844,1976.5569396972658,2013.1541915893556,-0.03565698117017746,16000,14279
260,35.790531158447266,1975.5237945556642,2011.3143257141114,-0.03604872152209282,16000,14283
261,35.68714141845703,1974.4739013671876,2010.1610427856447,-0.03659543767571449,16000,14286
262,35.65501403808594,1973.4190734863282,2009.0740875244142,-0.0365603044629097,16000,14291
263,35.864227294921875,1972.3623016357424,2008.2265289306642,-0.03675581514835358,16000,14298
264,35.34208679199219,1971.2983520507814,2006.6404388427736,-0.03691608086228371,16000,14301
265,34.957584381103516,1970.2246826171877,2005.1822669982912,-0.03726679086685181,16000,14304
266,35.16848373413086,1969.1409942626954,2004.3094779968262,-0.03764689713716507,16000,14305
267,36.79825210571289,1968.047286987305,2004.8455390930178,-0.03794774413108826,16000,14308
268,37.310394287109375,1966.944906616211,2004.2553009033204,-0.03813127055764198,16000,14314
269,39.92183303833008,1965.83415222168,2005.75598526001,-0.038453005254268646,16000,14317
270,38.63589859008789,1964.7153228759767,2003.3512214660645,-0.03873775526881218,16000,14322
271,36.89462661743164,1963.5894653320313,2000.484091949463,-0.038968686014413834,16000,14324
272,36.750892639160156,1962.4595703125,1999.2104629516602,-0.039059437811374664,16000,14328
273,36.77201843261719,1961.3268341064454,1998.0988525390626,-0.039082225412130356,16000,14329
274,34.37476348876953,1960.1936492919924,1994.568412780762,-0.03909160941839218,16000,14329
275,32.79010009765625,1959.0615112304688,1991.851611328125,-0.038991548120975494,16000,14333
276,32.42906951904297,1957.9332611083985,1990.3623306274415,-0.03874480724334717,16000,14334
277,30.744529724121094,1956.812338256836,1987.5568679809571,-0.03848264738917351,16000,14334
278,29.884069442749023,1955.704724121094,1985.588793563843,-0.03781434893608093,16000,14335
279,28.837486267089844,1954.6131103515627,1983.4505966186525,-0.0373961366713047,16000,14337
280,28.756072998046875,1953.536898803711,1982.2929718017579,-0.037025585770606995,16000,14340
281,28.64971923828125,1952.4744445800782,1981.1241638183594,-0.03646301105618477,16000,14343
282,28.752531051635742,1951.4242523193361,1980.1767833709719,-0.03599690645933151,16000,14344
283,28.775373458862305,1950.3884155273438,1979.163788986206,-0.03542187437415123,16000,14346
284,28.43399429321289,1949.3663360595704,1977.8003303527832,-0.034997690469026566,16000,14347
285,27.6904354095459,1948.359509277344,1976.0499446868898,-0.03445272147655487,16000,14348
286,26.87091064453125,1947.3725708007814,1974.2434814453127,-0.03366592898964882,16000,14352
287,26.503202438354492,1946.4091094970704,1972.912311935425,-0.032877884805202484,16000,14351
288,26.178892135620117,1945.4695739746096,1971.6484661102297,-0.03205821290612221,16000,14350
289,25.80766487121582,1944.5508239746096,1970.3584888458254,-0.0314965657889843,16000,14352
290,25.279096603393555,1943.6530090332033,1968.9321056365968,-0.03070782870054245,16000,14358
291,24.820892333984375,1942.7771759033205,1967.598068237305,-0.029835786670446396,16000,14362
292,24.595134735107422,1941.9213806152345,1966.516515350342,-0.029364915564656258,16000,14367
293,23.804615020751953,1941.08427734375,1964.888892364502,-0.028730342164635658,16000,14368
294,23.312286376953125,1940.263772583008,1963.576058959961,-0.028072170913219452,16000,14370
295,23.315200805664062,1939.4612121582034,1962.7764129638674,-0.027470607310533524,16000,14373
296,23.132410049438477,1938.6737548828125,1961.806164932251,-0.02707703411579132,16000,14377
297,22.80382537841797,1937.9058868408204,1960.7097122192383,-0.026612576097249985,16000,14379
298,22.940515518188477,1937.150280761719,1960.0907962799074,-0.02579888328909874,16000,14381
299,22.510086059570312,1936.4073852539063,1958.9174713134767,-0.025535596534609795,16000,14382
