p2g_ms,grid_update_ms,bc_ms,g2p_ms,total_ms
5.372999999963213,0.9700000009615906,0.13749999925494194,9.995799999160226,16.47629999933997
5.76569999975618,0.7416000007651746,0.12570000035339035,9.096599998883903,15.729599999758648
5.31810000029509,0.5839000004925765,0.08510000043315813,8.86009999885573,14.847200000076555
5.182999997487059,0.7268000008480158,0.13330000001587905,9.159799999906681,15.202899998257635
5.522799998288974,0.9720000016386621,0.14350000128615648,9.199600001011277,15.83790000222507
4.813899999135174,0.7595999995828606,0.13699999908567406,9.401299997989554,15.111799995793262
5.232900002738461,1.0661000014806632,0.1357000001007691,9.050399999978254,15.485100004298147
5.463599998620339,0.9424999989278149,0.12939999942318536,10.588500001176726,17.123999998148065
5.365299999539275,0.939599998673657,0.13070000204606913,9.26209999670391,15.69769999696291
5.306999999447726,0.9587999993527774,0.1328999969700817,8.814799999527168,15.213499995297752
5.4612000021734275,0.9408000005350914,0.13250000120024197,8.926700000301935,15.461200004210696
5.150000000867294,0.7272000002558343,0.12769999739248306,9.124500000325497,15.129399998841109
4.997899999580113,0.6257999993977137,0.07990000085555948,8.899399999791058,14.602999999624444
5.479700001160381,0.9911000015563332,0.134599999000784,9.347400002297945,15.952800004015444
5.1118999981554225,0.6056999991415069,0.07969999933266081,8.737399999517947,14.534699996147538
5.326900001819013,0.7476000027963892,0.12510000306065194,9.388099999341648,15.587700007017702
4.963699997460935,0.6052999997336883,0.07879999975557439,9.135200001765043,14.78299999871524
4.8994999997376,0.7292999980563764,0.12400000196066685,9.790800002519973,15.543600002274616
5.364799999370007,0.8975000018835999,0.12760000026901253,9.336300001450581,15.7262000029732
5.964600000879727,0.936699998419499,0.1295000001846347,8.987199998955475,16.017999998439336
5.643899999995483,1.0361999993619975,0.13959999705548398,9.1480999981286,15.967799994541565
5.417600001237588,0.930599999264814,0.14539999756379984,9.047499999724096,15.541099997790297
5.435099999886006,0.9764000024006236,0.1407999989169184,9.56650000080117,16.11880000200472
5.318200001056539,0.9347000013804063,0.12880000213044696,9.178100001008715,15.559800005576108
5.207300000620307,0.9767000010469928,0.14490000103251077,9.124899999733316,15.453800002433127
5.2434000026551075,0.9533999982522801,0.131200002215337,8.798200000455836,15.12620000357856
