frame,kinetic_energy,mean_vz
0,124.99999999999999,-0.5
1,140.1321811509202,-0.5293999910354614
2,156.1287193187124,-0.5587999820709229
3,172.9896033818103,-0.5881999135017395
4,190.714866704913,-0.6175999045372009
5,209.30447592332132,-0.6469998955726624
6,228.75843103703534,-0.676399827003479
7,249.07675428918776,-0.7057997584342957
8,270.2594679229113,-0.7351997494697571
9,292.30650520880783,-0.7645996809005737
10,315.2179328762755,-0.7939996123313904
11,338.99368419591605,-0.8233996629714966
12,363.6338036539951,-0.8527995944023132
13,389.13826900737973,-0.8821994662284851
14,415.5070580129373,-0.9115993976593018
15,442.7402151569333,-0.9409992694854736
16,470.8377849256332,-0.9703992009162903
17,499.7996338602405,-0.9997990727424622
18,529.6264292547376,-1.029199481010437
19,560.3176817602041,-1.0586000680923462
20,591.8733024041089,-1.0880005359649658
21,624.2934246452487,-1.1174012422561646
22,657.5780039973579,-1.1468018293380737
23,691.7267290565779,-1.176202416419983
24,726.7399112267674,-1.2056028842926025
25,762.6173725628644,-1.2350033521652222
26,799.3594689549926,-1.2644038200378418
27,836.9660224580904,-1.2938042879104614
28,875.4366771820335,-1.323204755783081
29,914.7719669620079,-1.3526053428649902
30,954.9715359078899,-1.3820059299468994
31,996.0355619647412,-1.4114065170288086
32,1037.9639561600309,-1.4408071041107178
33,1080.75680746629,-1.4702075719833374
34,1124.4139379384565,-1.4996081590652466
35,1168.9353475765306,-1.5290086269378662
36,1214.321392270636,-1.5584090948104858
37,1260.5716271581177,-1.587809443473816
38,1307.6864081290998,-1.6172102689743042
39,1355.6654682659894,-1.6466107368469238
40,1404.5089855138483,-1.6760112047195435
41,1454.2167819276146,-1.7054115533828735
42,1504.7888575072886,-1.7348120212554932
43,1556.2260130056486,-1.7642128467559814
44,1608.5269138347303,-1.793613314628601
45,1661.6922717747811,-1.8230136632919312
46,1715.7220868258016,-1.8524141311645508
47,1770.6163589877915,-1.881814956665039
48,1826.3750882607505,-1.9112151861190796
49,1882.9980966996172,-1.9406156539916992
50,1940.4852063593294,-1.9700162410736084
51,1998.836595184949,-1.9994163513183594
52,2058.050661670918,-2.028815746307373
53,2118.128829377733,-2.0582151412963867
54,2179.0712762504554,-2.0876145362854004
55,2240.8778243440233,-2.117013931274414
56,2303.54882954856,-2.1464130878448486
57,2367.083758028881,-2.1758124828338623
58,2431.484033345481,-2.205211877822876
59,2496.7480539928024,-2.2346110343933105
60,2562.8761758609694,-2.264010429382324
61,2629.8692886752915,-2.293409824371338
62,2697.726324765397,-2.3228089809417725
63,2766.447817966472,-2.3522086143493652
64,2836.0335903334544,-2.3816077709198
65,2906.4831080311587,-2.4110071659088135
66,2977.797260784894,-2.440406560897827
67,3049.976226539723,-2.4698057174682617
68,3123.018759680211,-2.4992048740386963
69,3196.9261058217926,-2.52860426902771
70,3271.697197294096,-2.5580034255981445
71,3347.332745877369,-2.587402582168579
72,3423.8331074617345,-2.6168019771575928
73,3501.197214376822,-2.6462011337280273
74,3579.4261342930026,-2.675600528717041
75,3658.5198672102765,-2.7049996852874756
76,3738.4766336780244,-2.7343990802764893
77,3819.2985690369896,-2.763798475265503
78,3900.9846056168,-2.7931976318359375
79,3983.53509930758,-2.822596788406372
80,4066.9500501093294,-2.851996421813965
81,4151.229102131924,-2.8813958168029785
82,4236.372967155612,-2.910794973373413
83,4322.380577510022,-2.9401943683624268
84,4409.2526449754005,-2.9695935249328613
85,4481.587668549562,-2.9937691688537598
86,4275.910224580904,-2.9197278022766113
87,3364.427927979227,-2.5325565338134766
88,2350.817621970663,-1.8712085485458374
89,1943.8401825573978,-1.3618083000183105
90,1805.2501622858963,-1.158578634262085
91,1701.3247298082179,-1.1325563192367554
92,1626.7322951781157,-1.1454136371612549
93,1575.0009964923468,-1.1633023023605347
94,1535.5260198387389,-1.1762757301330566
95,1502.8019229455174,-1.184246301651001
96,1474.5353498542272,-1.1882840394973755
97,1450.1280492665815,-1.1898937225341797
98,1429.6500425644588,-1.190649390220642
99,1412.989758194014,-1.1914021968841553
100,1400.0462123325892,-1.1926965713500977
101,1390.7302545041453,-1.1949162483215332
102,1384.8280837167456,-1.1981501579284668
103,1382.0278512493167,-1.2022459506988525
104,1381.9642358896683,-1.2068907022476196
105,1384.3010104432396,-1.2117971181869507
106,1388.7183186611696,-1.2165343761444092
107,1395.0710463454354,-1.2211397886276245
108,1403.236055513165,-1.2256723642349243
109,1413.0651179277513,-1.230075716972351
110,1424.3932785167638,-1.2341432571411133
111,1436.9903653425656,-1.237478494644165
112,1450.7191827623906,-1.2400304079055786
113,1465.6036643870716,-1.24222731590271
114,1481.6947914768584,-1.2445234060287476
115,1499.0097357302295,-1.2471686601638794
116,1516.5828782684948,-1.2500100135803223
117,1497.2317086711917,-1.241891622543335
118,1354.301519366117,-1.188833236694336
119,1161.9389926031795,-1.0964287519454956
120,1017.0121707304573,-1.0105843544006348
121,925.6897862381559,-0.9534933567047119
122,867.6741797444423,-0.9207938313484192
123,823.6051954263847,-0.8969361782073975
124,773.6365315517947,-0.865432858467102
125,710.908717386229,-0.8213173747062683
126,644.8396732786306,-0.7736812829971313
127,579.1534334855594,-0.7266380190849304
128,513.9584555222758,-0.6800169348716736
129,448.33111554471117,-0.632742702960968
130,381.94079162775597,-0.5824418663978577
131,315.9593409769041,-0.5263646245002747
132,253.81120509378414,-0.4636007249355316
133,200.05664881047284,-0.3970626890659332
134,158.36090666212075,-0.3331807851791382
135,128.8066452515716,-0.27831923961639404
136,108.62906542185792,-0.2355087548494339
137,94.64117111339513,-0.20537851750850677
138,84.47610949635853,-0.18699389696121216
139,76.7290765968078,-0.17743520438671112
140,70.67722064760613,-0.1733899861574173
141,65.7921949558981,-0.1718243807554245
